x,y
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,545
955,305
955,305
945,545
960,295
955,300
965,300
960,300
965,300
955,545
965,545
965,555
965,560
965,560
965,565
965,565
965,565
940,560
945,565
945,530
945,530
945,530
945,530
945,530
945,530
960,550
960,550
955,555
960,550
960,550
960,550
960,550
960,290
960,550
955,550
955,550
955,550
955,550
960,545
960,545
960,545
960,545
950,545
960,545
960,545
